TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output			9.9	-1	2.5	-9.9
291.75	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.92	-1	3.32	9.92
291.76	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.33	9.9
291.77	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.34	9.9
291.78	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.35	9.9
291.79	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.36	9.9
291.8	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.37	9.9
291.81	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.38	9.9
291.82	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.39	9.9
291.83	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.4	9.9
291.84	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.41	9.9
291.85	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.42	9.9
291.85	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.43	9.9
291.86	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.43	9.9
291.87	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.44	9.9
291.88	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.45	9.9
291.89	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.46	9.9
291.9	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.47	9.9
291.91	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526			-9.9	-1	3.48	9.9
291.92	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
291.93	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
291.94	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
291.95	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
291.96	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
291.97	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
291.98	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
291.99	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.01	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.01	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.02	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.03	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.04	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.05	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.06	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.07	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.08	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.09	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.1	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.11	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.12	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.13	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.14	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.15	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.16	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.17	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.18	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.19	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.2	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.21	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.22	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.23	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.24	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.25	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.26	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.27	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.28	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.29	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.3	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.31	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.32	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.33	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.33	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.34	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.35	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.36	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.37	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.38	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.39	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.4	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.41	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.42	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.43	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.44	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.45	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.46	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.47	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.48	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.49	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.49	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.5	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.51	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.52	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.53	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.54	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.55	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.56	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.57	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.58	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.59	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.6	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.61	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.62	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.63	0.001526	0	0	-0.103634	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.64	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.65	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.65	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.66	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.67	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.68	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.69	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.7	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.71	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.72	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.73	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.74	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.75	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.76	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.77	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.78	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.79	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.8	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.81	0.001526	0	0	0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.82	0.001526	0	0	0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.83	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.84	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.85	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.86	0.001526	0	0	-0.080605	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.87	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.88	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.89	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.9	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.91	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.92	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.93	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.94	0.001526	0	0	-0.149694	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.95	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.96	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.97	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.97	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.98	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
292.99	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526						
