TimeStamp	Reference	Position	Speed	Current	Voltage	Error	Kp x Error	Error Sum / Ti	Td x Delta PV	PID Output		TimeStamp	Position	Reference
59.91	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.91	0	0.001526
59.92	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.92	0	0.001526
59.93	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.93	0	0.001526
59.94	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.94	0	0.001526
59.95	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.95	0	0.001526
59.96	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.96	0	0.001526
59.97	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.97	0	0.001526
59.98	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.98	0	0.001526
59.99	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		59.99	0	0.001526
60	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60	0	0.001526
60	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60	0	0.001526
60.01	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.01	0	0.001526
60.02	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.02	0	0.001526
60.03	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.03	0	0.001526
60.04	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.04	0	0.001526
60.05	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.05	0	0.001526
60.06	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.06	0	0.001526
60.07	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.07	0	0.001526
60.08	0.001526	0	0	0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.08	0	0.001526
60.09	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.09	0	0.001526
60.1	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.1	0	0.001526
60.11	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.11	0	0.001526
60.12	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.12	0	0.001526
60.13	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.13	0	0.001526
60.14	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.14	0	0.001526
60.15	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.15	0	0.001526
60.16	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.16	0	0.001526
60.17	0.001526	0	0	0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.17	0	0.001526
60.18	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.18	0	0.001526
60.19	0.001526	0	0	0.077726	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.19	0	0.001526
60.2	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.2	0	0.001526
60.21	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.21	0	0.001526
60.22	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.22	0	0.001526
60.23	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.23	0	0.001526
60.24	0.001526	0	0	-0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.24	0	0.001526
60.25	0.001526	0	0	-0.057575	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.25	0	0.001526
60.26	0.001526	0	0	-0.034545	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.26	0	0.001526
60.27	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.27	0	0.001526
60.28	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.28	0	0.001526
60.29	0.001526	0	0	0.011515	0	0.001526	0.001526	0.001526	0.001526	0.001526		60.29	0	0.001526
